Observation id,Observation date,Description,Observation duration,Observation type,Source,Time offset (s),Media duration (s),FPS,Subs_A,Early win,Subs_B,Subject,Behavior,Behavioral category,Modifier #1,Behavior type,Time,Media file name,Image index,Image file path,Comment
7_France_Lithuania_Mixed,2025-05-29 09:36:29.246,Team A is France and team B is Lithuania,4988.266,Media file(s),player #1:C:/Users/basti/Desktop/UF_Thesis/7_France_Lithuania_Mixed,0.0,5860.000,30.000,16,1,16,,First half,,,START,225.067,C:/Users/basti/Desktop/UF_Thesis/7_France_Lithuania_Mixed,6752,NA,
7_France_Lithuania_Mixed,2025-05-29 09:36:29.246,Team A is France and team B is Lithuania,4988.266,Media file(s),player #1:C:/Users/basti/Desktop/UF_Thesis/7_France_Lithuania_Mixed,0.0,5860.000,30.000,16,1,16,,Time_on_offense_teamA,,,START,266.167,C:/Users/basti/Desktop/UF_Thesis/7_France_Lithuania_Mixed,7985,NA,
7_France_Lithuania_Mixed,2025-05-29 09:36:29.246,Team A is France and team B is Lithuania,4988.266,Media file(s),player #1:C:/Users/basti/Desktop/UF_Thesis/7_France_Lithuania_Mixed,0.0,5860.000,30.000,16,1,16,,Pull_pickup,,RZ_Def,POINT,266.900,C:/Users/basti/Desktop/UF_Thesis/7_France_Lithuania_Mixed,8007,NA,
7_France_Lithuania_Mixed,2025-05-29 09:36:29.246,Team A is France and team B is Lithuania,4988.266,Media file(s),player #1:C:/Users/basti/Desktop/UF_Thesis/7_France_Lithuania_Mixed,0.0,5860.000,30.000,16,1,16,,Successful_pass,,RZ_Def,POINT,268.100,C:/Users/basti/Desktop/UF_Thesis/7_France_Lithuania_Mixed,8043,NA,
7_France_Lithuania_Mixed,2025-05-29 09:36:29.246,Team A is France and team B is Lithuania,4988.266,Media file(s),player #1:C:/Users/basti/Desktop/UF_Thesis/7_France_Lithuania_Mixed,0.0,5860.000,30.000,16,1,16,,Successful_pass,,RZ_Def,POINT,270.700,C:/Users/basti/Desktop/UF_Thesis/7_France_Lithuania_Mixed,8121,NA,
7_France_Lithuania_Mixed,2025-05-29 09:36:29.246,Team A is France and team B is Lithuania,4988.266,Media file(s),player #1:C:/Users/basti/Desktop/UF_Thesis/7_France_Lithuania_Mixed,0.0,5860.000,30.000,16,1,16,,Successful_pass,,RZ_Def,POINT,272.567,C:/Users/basti/Desktop/UF_Thesis/7_France_Lithuania_Mixed,8177,NA,
7_France_Lithuania_Mixed,2025-05-29 09:36:29.246,Team A is France and team B is Lithuania,4988.266,Media file(s),player #1:C:/Users/basti/Desktop/UF_Thesis/7_France_Lithuania_Mixed,0.0,5860.000,30.000,16,1,16,,Successful_pass,,RZ_Def,POINT,274.200,C:/Users/basti/Desktop/UF_Thesis/7_France_Lithuania_Mixed,8226,NA,
7_France_Lithuania_Mixed,2025-05-29 09:36:29.246,Team A is France and team B is Lithuania,4988.266,Media file(s),player #1:C:/Users/basti/Desktop/UF_Thesis/7_France_Lithuania_Mixed,0.0,5860.000,30.000,16,1,16,,Successful_pass,,RZ_Def,POINT,276.633,C:/Users/basti/Desktop/UF_Thesis/7_France_Lithuania_Mixed,8299,NA,
7_France_Lithuania_Mixed,2025-05-29 09:36:29.246,Team A is France and team B is Lithuania,4988.266,Media file(s),player #1:C:/Users/basti/Desktop/UF_Thesis/7_France_Lithuania_Mixed,0.0,5860.000,30.000,16,1,16,,Successful_pass,,RZ_Def,POINT,280.167,C:/Users/basti/Desktop/UF_Thesis/7_France_Lithuania_Mixed,8405,NA,
7_France_Lithuania_Mixed,2025-05-29 09:36:29.246,Team A is France and team B is Lithuania,4988.266,Media file(s),player #1:C:/Users/basti/Desktop/UF_Thesis/7_France_Lithuania_Mixed,0.0,5860.000,30.000,16,1,16,,Successful_pass,,RZ_Def,POINT,282.000,C:/Users/basti/Desktop/UF_Thesis/7_France_Lithuania_Mixed,8460,NA,
7_France_Lithuania_Mixed,2025-05-29 09:36:29.246,Team A is France and team B is Lithuania,4988.266,Media file(s),player #1:C:/Users/basti/Desktop/UF_Thesis/7_France_Lithuania_Mixed,0.0,5860.000,30.000,16,1,16,,Successful_pass,,Mid_Def,POINT,285.400,C:/Users/basti/Desktop/UF_Thesis/7_France_Lithuania_Mixed,8562,NA,
7_France_Lithuania_Mixed,2025-05-29 09:36:29.246,Team A is France and team B is Lithuania,4988.266,Media file(s),player #1:C:/Users/basti/Desktop/UF_Thesis/7_France_Lithuania_Mixed,0.0,5860.000,30.000,16,1,16,,Successful_pass,,RZ_Def,POINT,288.567,C:/Users/basti/Desktop/UF_Thesis/7_France_Lithuania_Mixed,8657,NA,
7_France_Lithuania_Mixed,2025-05-29 09:36:29.246,Team A is France and team B is Lithuania,4988.266,Media file(s),player #1:C:/Users/basti/Desktop/UF_Thesis/7_France_Lithuania_Mixed,0.0,5860.000,30.000,16,1,16,,Successful_pass,,RZ_Def,POINT,289.967,C:/Users/basti/Desktop/UF_Thesis/7_France_Lithuania_Mixed,8699,NA,
7_France_Lithuania_Mixed,2025-05-29 09:36:29.246,Team A is France and team B is Lithuania,4988.266,Media file(s),player #1:C:/Users/basti/Desktop/UF_Thesis/7_France_Lithuania_Mixed,0.0,5860.000,30.000,16,1,16,,Successful_pass,,RZ_Def,POINT,294.233,C:/Users/basti/Desktop/UF_Thesis/7_France_Lithuania_Mixed,8827,NA,
7_France_Lithuania_Mixed,2025-05-29 09:36:29.246,Team A is France and team B is Lithuania,4988.266,Media file(s),player #1:C:/Users/basti/Desktop/UF_Thesis/7_France_Lithuania_Mixed,0.0,5860.000,30.000,16,1,16,,Successful_pass,,RZ_Def,POINT,297.467,C:/Users/basti/Desktop/UF_Thesis/7_France_Lithuania_Mixed,8924,NA,
7_France_Lithuania_Mixed,2025-05-29 09:36:29.246,Team A is France and team B is Lithuania,4988.266,Media file(s),player #1:C:/Users/basti/Desktop/UF_Thesis/7_France_Lithuania_Mixed,0.0,5860.000,30.000,16,1,16,,Successful_pass,,RZ_Def,POINT,298.967,C:/Users/basti/Desktop/UF_Thesis/7_France_Lithuania_Mixed,8969,NA,
7_France_Lithuania_Mixed,2025-05-29 09:36:29.246,Team A is France and team B is Lithuania,4988.266,Media file(s),player #1:C:/Users/basti/Desktop/UF_Thesis/7_France_Lithuania_Mixed,0.0,5860.000,30.000,16,1,16,,Successful_pass,,RZ_Def,POINT,308.800,C:/Users/basti/Desktop/UF_Thesis/7_France_Lithuania_Mixed,9264,NA,
7_France_Lithuania_Mixed,2025-05-29 09:36:29.246,Team A is France and team B is Lithuania,4988.266,Media file(s),player #1:C:/Users/basti/Desktop/UF_Thesis/7_France_Lithuania_Mixed,0.0,5860.000,30.000,16,1,16,,Successful_pass,,EZ_Def,POINT,313.767,C:/Users/basti/Desktop/UF_Thesis/7_France_Lithuania_Mixed,9413,NA,
7_France_Lithuania_Mixed,2025-05-29 09:36:29.246,Team A is France and team B is Lithuania,4988.266,Media file(s),player #1:C:/Users/basti/Desktop/UF_Thesis/7_France_Lithuania_Mixed,0.0,5860.000,30.000,16,1,16,,Successful_pass,,RZ_Def,POINT,316.633,C:/Users/basti/Desktop/UF_Thesis/7_France_Lithuania_Mixed,9499,NA,
7_France_Lithuania_Mixed,2025-05-29 09:36:29.246,Team A is France and team B is Lithuania,4988.266,Media file(s),player #1:C:/Users/basti/Desktop/UF_Thesis/7_France_Lithuania_Mixed,0.0,5860.000,30.000,16,1,16,,Successful_pass,,EZ_Def,POINT,321.967,C:/Users/basti/Desktop/UF_Thesis/7_France_Lithuania_Mixed,9659,NA,
7_France_Lithuania_Mixed,2025-05-29 09:36:29.246,Team A is France and team B is Lithuania,4988.266,Media file(s),player #1:C:/Users/basti/Desktop/UF_Thesis/7_France_Lithuania_Mixed,0.0,5860.000,30.000,16,1,16,,Successful_pass,,EZ_Def,POINT,334.333,C:/Users/basti/Desktop/UF_Thesis/7_France_Lithuania_Mixed,10030,NA,
7_France_Lithuania_Mixed,2025-05-29 09:36:29.246,Team A is France and team B is Lithuania,4988.266,Media file(s),player #1:C:/Users/basti/Desktop/UF_Thesis/7_France_Lithuania_Mixed,0.0,5860.000,30.000,16,1,16,,Successful_pass,,RZ_Def,POINT,338.600,C:/Users/basti/Desktop/UF_Thesis/7_France_Lithuania_Mixed,10158,NA,
7_France_Lithuania_Mixed,2025-05-29 09:36:29.246,Team A is France and team B is Lithuania,4988.266,Media file(s),player #1:C:/Users/basti/Desktop/UF_Thesis/7_France_Lithuania_Mixed,0.0,5860.000,30.000,16,1,16,,Successful_pass,,Mid_Def,POINT,344.267,C:/Users/basti/Desktop/UF_Thesis/7_France_Lithuania_Mixed,10328,NA,
7_France_Lithuania_Mixed,2025-05-29 09:36:29.246,Team A is France and team B is Lithuania,4988.266,Media file(s),player #1:C:/Users/basti/Desktop/UF_Thesis/7_France_Lithuania_Mixed,0.0,5860.000,30.000,16,1,16,,Successful_pass,,Mid_Def,POINT,366.200,C:/Users/basti/Desktop/UF_Thesis/7_France_Lithuania_Mixed,10986,NA,
7_France_Lithuania_Mixed,2025-05-29 09:36:29.246,Team A is France and team B is Lithuania,4988.266,Media file(s),player #1:C:/Users/basti/Desktop/UF_Thesis/7_France_Lithuania_Mixed,0.0,5860.000,30.000,16,1,16,,Successful_pass,,Mid_Def,POINT,379.867,C:/Users/basti/Desktop/UF_Thesis/7_France_Lithuania_Mixed,11396,NA,
7_France_Lithuania_Mixed,2025-05-29 09:36:29.246,Team A is France and team B is Lithuania,4988.266,Media file(s),player #1:C:/Users/basti/Desktop/UF_Thesis/7_France_Lithuania_Mixed,0.0,5860.000,30.000,16,1,16,,Score,,,POINT,387.033,C:/Users/basti/Desktop/UF_Thesis/7_France_Lithuania_Mixed,11611,NA,
7_France_Lithuania_Mixed,2025-05-29 09:36:29.246,Team A is France and team B is Lithuania,4988.266,Media file(s),player #1:C:/Users/basti/Desktop/UF_Thesis/7_France_Lithuania_Mixed,0.0,5860.000,30.000,16,1,16,,Time_on_offense_teamA,,,STOP,477.867,C:/Users/basti/Desktop/UF_Thesis/7_France_Lithuania_Mixed,14336,NA,
7_France_Lithuania_Mixed,2025-05-29 09:36:29.246,Team A is France and team B is Lithuania,4988.266,Media file(s),player #1:C:/Users/basti/Desktop/UF_Thesis/7_France_Lithuania_Mixed,0.0,5860.000,30.000,16,1,16,,Time_on_offense_teamB,,,START,477.867,C:/Users/basti/Desktop/UF_Thesis/7_France_Lithuania_Mixed,14336,NA,
7_France_Lithuania_Mixed,2025-05-29 09:36:29.246,Team A is France and team B is Lithuania,4988.266,Media file(s),player #1:C:/Users/basti/Desktop/UF_Thesis/7_France_Lithuania_Mixed,0.0,5860.000,30.000,16,1,16,,Pull_pickup,,RZ_Def,POINT,501.867,C:/Users/basti/Desktop/UF_Thesis/7_France_Lithuania_Mixed,15056,NA,
7_France_Lithuania_Mixed,2025-05-29 09:36:29.246,Team A is France and team B is Lithuania,4988.266,Media file(s),player #1:C:/Users/basti/Desktop/UF_Thesis/7_France_Lithuania_Mixed,0.0,5860.000,30.000,16,1,16,,Successful_pass,,Mid_Def,POINT,506.667,C:/Users/basti/Desktop/UF_Thesis/7_France_Lithuania_Mixed,15200,NA,
7_France_Lithuania_Mixed,2025-05-29 09:36:29.246,Team A is France and team B is Lithuania,4988.266,Media file(s),player #1:C:/Users/basti/Desktop/UF_Thesis/7_France_Lithuania_Mixed,0.0,5860.000,30.000,16,1,16,,Successful_pass,,Mid_Def,POINT,510.900,C:/Users/basti/Desktop/UF_Thesis/7_France_Lithuania_Mixed,15327,NA,
7_France_Lithuania_Mixed,2025-05-29 09:36:29.246,Team A is France and team B is Lithuania,4988.266,Media file(s),player #1:C:/Users/basti/Desktop/UF_Thesis/7_France_Lithuania_Mixed,0.0,5860.000,30.000,16,1,16,,Score,,,POINT,518.267,C:/Users/basti/Desktop/UF_Thesis/7_France_Lithuania_Mixed,15548,NA,
7_France_Lithuania_Mixed,2025-05-29 09:36:29.246,Team A is France and team B is Lithuania,4988.266,Media file(s),player #1:C:/Users/basti/Desktop/UF_Thesis/7_France_Lithuania_Mixed,0.0,5860.000,30.000,16,1,16,,Time_on_offense_teamA,,,START,595.233,C:/Users/basti/Desktop/UF_Thesis/7_France_Lithuania_Mixed,17857,NA,
7_France_Lithuania_Mixed,2025-05-29 09:36:29.246,Team A is France and team B is Lithuania,4988.266,Media file(s),player #1:C:/Users/basti/Desktop/UF_Thesis/7_France_Lithuania_Mixed,0.0,5860.000,30.000,16,1,16,,Time_on_offense_teamB,,,STOP,595.233,C:/Users/basti/Desktop/UF_Thesis/7_France_Lithuania_Mixed,17857,NA,
7_France_Lithuania_Mixed,2025-05-29 09:36:29.246,Team A is France and team B is Lithuania,4988.266,Media file(s),player #1:C:/Users/basti/Desktop/UF_Thesis/7_France_Lithuania_Mixed,0.0,5860.000,30.000,16,1,16,,Pull_pickup,,RZ_Def,POINT,624.433,C:/Users/basti/Desktop/UF_Thesis/7_France_Lithuania_Mixed,18733,NA,
7_France_Lithuania_Mixed,2025-05-29 09:36:29.246,Team A is France and team B is Lithuania,4988.266,Media file(s),player #1:C:/Users/basti/Desktop/UF_Thesis/7_France_Lithuania_Mixed,0.0,5860.000,30.000,16,1,16,,Successful_pass,,Mid_Def,POINT,626.733,C:/Users/basti/Desktop/UF_Thesis/7_France_Lithuania_Mixed,18802,NA,
7_France_Lithuania_Mixed,2025-05-29 09:36:29.246,Team A is France and team B is Lithuania,4988.266,Media file(s),player #1:C:/Users/basti/Desktop/UF_Thesis/7_France_Lithuania_Mixed,0.0,5860.000,30.000,16,1,16,,Successful_pass,,Mid_Def,POINT,631.033,C:/Users/basti/Desktop/UF_Thesis/7_France_Lithuania_Mixed,18931,NA,
7_France_Lithuania_Mixed,2025-05-29 09:36:29.246,Team A is France and team B is Lithuania,4988.266,Media file(s),player #1:C:/Users/basti/Desktop/UF_Thesis/7_France_Lithuania_Mixed,0.0,5860.000,30.000,16,1,16,,Successful_pass,,RZ_Def,POINT,636.567,C:/Users/basti/Desktop/UF_Thesis/7_France_Lithuania_Mixed,19097,NA,
7_France_Lithuania_Mixed,2025-05-29 09:36:29.246,Team A is France and team B is Lithuania,4988.266,Media file(s),player #1:C:/Users/basti/Desktop/UF_Thesis/7_France_Lithuania_Mixed,0.0,5860.000,30.000,16,1,16,,Successful_pass,,RZ_Def,POINT,639.500,C:/Users/basti/Desktop/UF_Thesis/7_France_Lithuania_Mixed,19185,NA,
7_France_Lithuania_Mixed,2025-05-29 09:36:29.246,Team A is France and team B is Lithuania,4988.266,Media file(s),player #1:C:/Users/basti/Desktop/UF_Thesis/7_France_Lithuania_Mixed,0.0,5860.000,30.000,16,1,16,,Successful_pass,,Mid_Def,POINT,641.067,C:/Users/basti/Desktop/UF_Thesis/7_France_Lithuania_Mixed,19232,NA,
7_France_Lithuania_Mixed,2025-05-29 09:36:29.246,Team A is France and team B is Lithuania,4988.266,Media file(s),player #1:C:/Users/basti/Desktop/UF_Thesis/7_France_Lithuania_Mixed,0.0,5860.000,30.000,16,1,16,,Successful_pass,,Mid_Def,POINT,645.167,C:/Users/basti/Desktop/UF_Thesis/7_France_Lithuania_Mixed,19355,NA,
7_France_Lithuania_Mixed,2025-05-29 09:36:29.246,Team A is France and team B is Lithuania,4988.266,Media file(s),player #1:C:/Users/basti/Desktop/UF_Thesis/7_France_Lithuania_Mixed,0.0,5860.000,30.000,16,1,16,,Successful_pass,,Mid_Def,POINT,647.333,C:/Users/basti/Desktop/UF_Thesis/7_France_Lithuania_Mixed,19420,NA,
7_France_Lithuania_Mixed,2025-05-29 09:36:29.246,Team A is France and team B is Lithuania,4988.266,Media file(s),player #1:C:/Users/basti/Desktop/UF_Thesis/7_France_Lithuania_Mixed,0.0,5860.000,30.000,16,1,16,,Successful_pass,,Mid_Off,POINT,653.033,C:/Users/basti/Desktop/UF_Thesis/7_France_Lithuania_Mixed,19591,NA,
7_France_Lithuania_Mixed,2025-05-29 09:36:29.246,Team A is France and team B is Lithuania,4988.266,Media file(s),player #1:C:/Users/basti/Desktop/UF_Thesis/7_France_Lithuania_Mixed,0.0,5860.000,30.000,16,1,16,,Successful_pass,,Mid_Off,POINT,658.900,C:/Users/basti/Desktop/UF_Thesis/7_France_Lithuania_Mixed,19767,NA,
7_France_Lithuania_Mixed,2025-05-29 09:36:29.246,Team A is France and team B is Lithuania,4988.266,Media file(s),player #1:C:/Users/basti/Desktop/UF_Thesis/7_France_Lithuania_Mixed,0.0,5860.000,30.000,16,1,16,,Score,,,POINT,664.133,C:/Users/basti/Desktop/UF_Thesis/7_France_Lithuania_Mixed,19924,NA,
7_France_Lithuania_Mixed,2025-05-29 09:36:29.246,Team A is France and team B is Lithuania,4988.266,Media file(s),player #1:C:/Users/basti/Desktop/UF_Thesis/7_France_Lithuania_Mixed,0.0,5860.000,30.000,16,1,16,,Time_on_offense_teamA,,,STOP,755.867,C:/Users/basti/Desktop/UF_Thesis/7_France_Lithuania_Mixed,22676,NA,
