Observation id,Subs_A,Early win,Subs_B,Behaviour,Field_Loc,B_Type,Time,Comment
2_Italy_France_Mixed,16,1,16,First half,,START,952.133,
2_Italy_France_Mixed,16,1,16,Time_on_offense_teamA,,START,993.833,
2_Italy_France_Mixed,16,1,16,Pull_pickup,RZ_Def,POINT,1013.833,
2_Italy_France_Mixed,16,1,16,Successful_pass,RZ_Def,POINT,1017.533,
2_Italy_France_Mixed,16,1,16,Successful_pass,Mid_Def,POINT,1019.7,
2_Italy_France_Mixed,16,1,16,Successful_pass,Mid_Def,POINT,1024.633,
2_Italy_France_Mixed,16,1,16,Successful_pass,Mid_Off,POINT,1032.633,
2_Italy_France_Mixed,16,1,16,Successful_pass,Mid_Def,POINT,1036.733,
2_Italy_France_Mixed,16,1,16,Successful_pass,Mid_Def,POINT,1042.3,
2_Italy_France_Mixed,16,1,16,Successful_pass,Mid_Def,POINT,1045.7,
2_Italy_France_Mixed,16,1,16,Score,,POINT,1055.533,
2_Italy_France_Mixed,16,1,16,Time_on_offense_teamA,,STOP,1141.967,
2_Italy_France_Mixed,16,1,16,Time_on_offense_teamB,,START,1141.967,
2_Italy_France_Mixed,16,1,16,Pull_pickup,EZ_Def,POINT,1142.267,
2_Italy_France_Mixed,16,1,16,Successful_pass,EZ_Def,POINT,1143.1,
2_Italy_France_Mixed,16,1,16,Forced_turnover,RZ_Def,POINT,1147.967,
2_Italy_France_Mixed,16,1,16,Time_on_offense_teamA,,START,1148.267,
2_Italy_France_Mixed,16,1,16,Time_on_offense_teamB,,STOP,1148.267,
2_Italy_France_Mixed,16,1,16,Score,,POINT,1171.867,
2_Italy_France_Mixed,16,1,16,Time_on_offense_teamA,,STOP,1251.667,
2_Italy_France_Mixed,16,1,16,Time_on_offense_teamB,,START,1251.667,
2_Italy_France_Mixed,16,1,16,Pull_pickup,EZ_Def,POINT,1251.967,
2_Italy_France_Mixed,16,1,16,Successful_pass,EZ_Def,POINT,1253.2,
2_Italy_France_Mixed,16,1,16,Successful_pass,EZ_Def,POINT,1254.433,
2_Italy_France_Mixed,16,1,16,Successful_pass,RZ_Def,POINT,1255.5,
2_Italy_France_Mixed,16,1,16,Unforced_turnover,RZ_Def,POINT,1262.467,
2_Italy_France_Mixed,16,1,16,Time_on_offense_teamA,,START,1262.733,
2_Italy_France_Mixed,16,1,16,Time_on_offense_teamB,,STOP,1262.733,
2_Italy_France_Mixed,16,1,16,Score,,POINT,1278.467,
2_Italy_France_Mixed,16,1,16,Time_on_offense_teamA,,STOP,1394.0,
2_Italy_France_Mixed,16,1,16,Time_on_offense_teamB,,START,1394.0,
2_Italy_France_Mixed,16,1,16,Pull_pickup,Mid_Def,POINT,1394.267,
2_Italy_France_Mixed,16,1,16,Successful_pass,Mid_Def,POINT,1396.833,
2_Italy_France_Mixed,16,1,16,Successful_pass,RZ_Def,POINT,1400.7,
2_Italy_France_Mixed,16,1,16,Successful_pass,RZ_Def,POINT,1407.6,
2_Italy_France_Mixed,16,1,16,Successful_pass,Mid_Def,POINT,1409.9,
2_Italy_France_Mixed,16,1,16,Unforced_turnover,EZ_Off,POINT,1416.5,
2_Italy_France_Mixed,16,1,16,Time_on_offense_teamA,,START,1416.733,
2_Italy_France_Mixed,16,1,16,Time_on_offense_teamB,,STOP,1416.733,
2_Italy_France_Mixed,16,1,16,Score,,POINT,1537.467,
2_Italy_France_Mixed,16,1,16,Pull_pickup,RZ_Def,POINT,1617.767,
2_Italy_France_Mixed,16,1,16,Time_on_offense_teamA,,STOP,1617.767,
2_Italy_France_Mixed,16,1,16,Time_on_offense_teamB,,START,1617.767,
2_Italy_France_Mixed,16,1,16,Successful_pass,RZ_Def,POINT,1619.133,
2_Italy_France_Mixed,16,1,16,Successful_pass,Mid_Def,POINT,1624.667,
2_Italy_France_Mixed,16,1,16,Successful_pass,Mid_Off,POINT,1627.3,
2_Italy_France_Mixed,16,1,16,Successful_pass,Mid_Off,POINT,1629.833,
2_Italy_France_Mixed,16,1,16,Successful_pass,RZ_Off,POINT,1633.767,
2_Italy_France_Mixed,16,1,16,Score,,POINT,1637.3,
2_Italy_France_Mixed,16,1,16,Time_on_offense_teamA,,START,1730.9,
2_Italy_France_Mixed,16,1,16,Time_on_offense_teamB,,STOP,1730.9,
2_Italy_France_Mixed,16,1,16,Pull_pickup,RZ_Def,POINT,1731.567,
2_Italy_France_Mixed,16,1,16,Successful_pass,RZ_Def,POINT,1732.933,
2_Italy_France_Mixed,16,1,16,Successful_pass,Mid_Def,POINT,1737.467,
2_Italy_France_Mixed,16,1,16,Successful_pass,Mid_Off,POINT,1741.2,
2_Italy_France_Mixed,16,1,16,Successful_pass,Mid_Off,POINT,1746.1,
2_Italy_France_Mixed,16,1,16,Successful_pass,Mid_Off,POINT,1800.267,
2_Italy_France_Mixed,16,1,16,Successful_pass,RZ_Off,POINT,1802.533,
2_Italy_France_Mixed,16,1,16,Successful_pass,RZ_Off,POINT,1809.3,
2_Italy_France_Mixed,16,1,16,Successful_pass,RZ_Off,POINT,1830.3,
2_Italy_France_Mixed,16,1,16,Score,,POINT,1838.4,
2_Italy_France_Mixed,16,1,16,Time_on_offense_teamA,,STOP,1927.933,
2_Italy_France_Mixed,16,1,16,Time_on_offense_teamB,,START,1927.933,
2_Italy_France_Mixed,16,1,16,Pull_pickup,EZ_Def,POINT,1928.2,
2_Italy_France_Mixed,16,1,16,Successful_pass,EZ_Def,POINT,1929.467,
2_Italy_France_Mixed,16,1,16,Successful_pass,RZ_Def,POINT,1931.2,
2_Italy_France_Mixed,16,1,16,Successful_pass,RZ_Def,POINT,1932.733,
2_Italy_France_Mixed,16,1,16,Forced_turnover,Mid_Def,POINT,1936.0,
2_Italy_France_Mixed,16,1,16,Time_on_offense_teamA,,START,1936.233,
2_Italy_France_Mixed,16,1,16,Time_on_offense_teamB,,STOP,1936.233,
2_Italy_France_Mixed,16,1,16,Successful_pass,RZ_Off,POINT,1946.433,
2_Italy_France_Mixed,16,1,16,Successful_pass,RZ_Off,POINT,1950.7,
2_Italy_France_Mixed,16,1,16,Score,,POINT,1955.7,
2_Italy_France_Mixed,16,1,16,Time_on_offense_teamA,,STOP,2036.633,
2_Italy_France_Mixed,16,1,16,Time_on_offense_teamB,,START,2036.633,
2_Italy_France_Mixed,16,1,16,Pull_pickup,RZ_Def,POINT,2036.933,
2_Italy_France_Mixed,16,1,16,Successful_pass,RZ_Def,POINT,2038.7,
2_Italy_France_Mixed,16,1,16,Successful_pass,RZ_Def,POINT,2039.967,
2_Italy_France_Mixed,16,1,16,Successful_pass,Mid_Def,POINT,2042.467,
2_Italy_France_Mixed,16,1,16,Successful_pass,Mid_Def,POINT,2048.267,
2_Italy_France_Mixed,16,1,16,Successful_pass,Mid_Def,POINT,2050.533,
2_Italy_France_Mixed,16,1,16,Successful_pass,Mid_Off,POINT,2053.667,
2_Italy_France_Mixed,16,1,16,Successful_pass,Mid_Off,POINT,2055.367,
2_Italy_France_Mixed,16,1,16,Successful_pass,Mid_Def,POINT,2058.133,
2_Italy_France_Mixed,16,1,16,Successful_pass,Mid_Def,POINT,2060.3,
2_Italy_France_Mixed,16,1,16,Successful_pass,Mid_Off,POINT,2061.6,
2_Italy_France_Mixed,16,1,16,Successful_pass,Mid_Off,POINT,2065.033,
2_Italy_France_Mixed,16,1,16,Successful_pass,RZ_Off,POINT,2068.1,
2_Italy_France_Mixed,16,1,16,Successful_pass,RZ_Off,POINT,2069.333,
2_Italy_France_Mixed,16,1,16,Forced_turnover,RZ_Off,POINT,2071.4,
2_Italy_France_Mixed,16,1,16,Time_on_offense_teamB,,STOP,2071.9,
