Observation id,Subs_A,Early win,Subs_B,Behaviour,Field_Loc,B_Type,Time,Comment
3_Italy_Ireland_Mixed,15,1,16,First half,,START,392.067,
3_Italy_Ireland_Mixed,15,1,16,Time_on_offense_teamA,,START,434.967,
3_Italy_Ireland_Mixed,15,1,16,Pull_pickup,RZ_Def,POINT,434.968,
3_Italy_Ireland_Mixed,15,1,16,Successful_pass,Mid_Def,POINT,436.133,
3_Italy_Ireland_Mixed,15,1,16,Successful_pass,Mid_Def,POINT,439.3,
3_Italy_Ireland_Mixed,15,1,16,Successful_pass,Mid_Def,POINT,444.933,
3_Italy_Ireland_Mixed,15,1,16,Successful_pass,Mid_Off,POINT,450.367,
3_Italy_Ireland_Mixed,15,1,16,Successful_pass,RZ_Off,POINT,458.3,
3_Italy_Ireland_Mixed,15,1,16,Successful_pass,RZ_Off,POINT,461.7,
3_Italy_Ireland_Mixed,15,1,16,Successful_pass,RZ_Off,POINT,465.833,
3_Italy_Ireland_Mixed,15,1,16,Successful_pass,RZ_Off,POINT,468.3,
3_Italy_Ireland_Mixed,15,1,16,Successful_pass,Mid_Off,POINT,472.067,
3_Italy_Ireland_Mixed,15,1,16,Successful_pass,RZ_Off,POINT,476.033,
3_Italy_Ireland_Mixed,15,1,16,Unforced_turnover,EZ_Off,POINT,479.633,
3_Italy_Ireland_Mixed,15,1,16,Time_on_offense_teamA,,STOP,479.634,
3_Italy_Ireland_Mixed,15,1,16,Time_on_offense_teamB,,START,479.634,
3_Italy_Ireland_Mixed,15,1,16,Successful_pass,RZ_Def,POINT,505.467,
3_Italy_Ireland_Mixed,15,1,16,Forced_turnover,RZ_Def,POINT,512.267,
3_Italy_Ireland_Mixed,15,1,16,Time_on_offense_teamA,,START,512.268,
3_Italy_Ireland_Mixed,15,1,16,Time_on_offense_teamB,,STOP,512.268,
3_Italy_Ireland_Mixed,15,1,16,Successful_pass,RZ_Off,POINT,512.9,
3_Italy_Ireland_Mixed,15,1,16,Successful_pass,RZ_Off,POINT,522.067,
3_Italy_Ireland_Mixed,15,1,16,Successful_pass,RZ_Off,POINT,528.667,
3_Italy_Ireland_Mixed,15,1,16,Score,,POINT,536.8,
3_Italy_Ireland_Mixed,15,1,16,Time_on_offense_teamA,,STOP,614.634,
3_Italy_Ireland_Mixed,15,1,16,Time_on_offense_teamB,,START,614.634,
3_Italy_Ireland_Mixed,15,1,16,Pull_pickup,RZ_Def,POINT,614.635,
3_Italy_Ireland_Mixed,15,1,16,Successful_pass,RZ_Def,POINT,617.733,
3_Italy_Ireland_Mixed,15,1,16,Successful_pass,RZ_Def,POINT,620.1,
3_Italy_Ireland_Mixed,15,1,16,Forced_turnover,EZ_Off,POINT,628.1,
3_Italy_Ireland_Mixed,15,1,16,Time_on_offense_teamA,,START,628.101,
3_Italy_Ireland_Mixed,15,1,16,Time_on_offense_teamB,,STOP,628.101,
3_Italy_Ireland_Mixed,15,1,16,Successful_pass,EZ_Def,POINT,658.8,
3_Italy_Ireland_Mixed,15,1,16,Unforced_turnover,RZ_Def,POINT,662.267,
3_Italy_Ireland_Mixed,15,1,16,Time_on_offense_teamA,,STOP,662.268,
3_Italy_Ireland_Mixed,15,1,16,Time_on_offense_teamB,,START,662.268,
3_Italy_Ireland_Mixed,15,1,16,Score,,POINT,698.633,
3_Italy_Ireland_Mixed,15,1,16,Time_on_offense_teamA,,START,798.101,
3_Italy_Ireland_Mixed,15,1,16,Time_on_offense_teamB,,STOP,798.101,
