Observation id,Subs_A,Early win,Subs_B,Behaviour,Field_Loc,B_Type,Time,Comment
6_Germany_GB_Mixed,18,0,19,First half,,START,507.0,
6_Germany_GB_Mixed,18,0,19,Time_on_offense_teamA,,START,544.933,
6_Germany_GB_Mixed,18,0,19,Pull_pickup,RZ_Def,POINT,545.767,
6_Germany_GB_Mixed,18,0,19,Successful_pass,RZ_Def,POINT,547.067,
6_Germany_GB_Mixed,18,0,19,Successful_pass,Mid_Def,POINT,550.667,
6_Germany_GB_Mixed,18,0,19,Successful_pass,Mid_Def,POINT,556.5,
6_Germany_GB_Mixed,18,0,19,Successful_pass,Mid_Def,POINT,560.033,
6_Germany_GB_Mixed,18,0,19,Successful_pass,Mid_Def,POINT,563.1,
6_Germany_GB_Mixed,18,0,19,Successful_pass,Mid_Def,POINT,567.8,
6_Germany_GB_Mixed,18,0,19,Successful_pass,RZ_Def,POINT,573.9,
6_Germany_GB_Mixed,18,0,19,Successful_pass,RZ_Def,POINT,582.2,
6_Germany_GB_Mixed,18,0,19,Successful_pass,RZ_Def,POINT,584.1,
6_Germany_GB_Mixed,18,0,19,Successful_pass,RZ_Def,POINT,586.133,
6_Germany_GB_Mixed,18,0,19,Successful_pass,Mid_Def,POINT,593.667,
6_Germany_GB_Mixed,18,0,19,Unforced_turnover,EZ_Off,POINT,600.1,
6_Germany_GB_Mixed,18,0,19,Time_on_offense_teamA,,STOP,600.4,
6_Germany_GB_Mixed,18,0,19,Time_on_offense_teamB,,START,600.4,
6_Germany_GB_Mixed,18,0,19,Successful_pass,EZ_Def,POINT,635.167,
6_Germany_GB_Mixed,18,0,19,Successful_pass,EZ_Def,POINT,643.033,
6_Germany_GB_Mixed,18,0,19,Successful_pass,EZ_Def,POINT,649.233,
6_Germany_GB_Mixed,18,0,19,Successful_pass,EZ_Def,POINT,652.533,
6_Germany_GB_Mixed,18,0,19,Unforced_turnover,EZ_Def,POINT,669.9,
6_Germany_GB_Mixed,18,0,19,Time_on_offense_teamA,,START,671.367,
6_Germany_GB_Mixed,18,0,19,Time_on_offense_teamB,,STOP,671.367,
6_Germany_GB_Mixed,18,0,19,Successful_pass,RZ_Off,POINT,676.367,
6_Germany_GB_Mixed,18,0,19,Successful_pass,RZ_Off,POINT,682.3,
6_Germany_GB_Mixed,18,0,19,Score,,POINT,684.233,
6_Germany_GB_Mixed,18,0,19,Time_on_offense_teamA,,STOP,779.133,
6_Germany_GB_Mixed,18,0,19,Time_on_offense_teamB,,START,779.133,
6_Germany_GB_Mixed,18,0,19,Pull_pickup,Mid_Def,POINT,779.333,
6_Germany_GB_Mixed,18,0,19,Successful_pass,Mid_Def,POINT,780.533,
6_Germany_GB_Mixed,18,0,19,Successful_pass,Mid_Def,POINT,786.333,
6_Germany_GB_Mixed,18,0,19,Successful_pass,Mid_Def,POINT,790.533,
6_Germany_GB_Mixed,18,0,19,Unforced_turnover,EZ_Off,POINT,796.633,
6_Germany_GB_Mixed,18,0,19,Time_on_offense_teamA,,START,797.067,
6_Germany_GB_Mixed,18,0,19,Time_on_offense_teamB,,STOP,797.067,
6_Germany_GB_Mixed,18,0,19,Successful_pass,Mid_Off,POINT,835.533,
6_Germany_GB_Mixed,18,0,19,Unforced_turnover,RZ_Off,POINT,842.033,
6_Germany_GB_Mixed,18,0,19,Time_on_offense_teamA,,STOP,843.833,
6_Germany_GB_Mixed,18,0,19,Time_on_offense_teamB,,START,843.833,
6_Germany_GB_Mixed,18,0,19,Successful_pass,RZ_Def,POINT,848.533,
6_Germany_GB_Mixed,18,0,19,Successful_pass,RZ_Def,POINT,851.433,
6_Germany_GB_Mixed,18,0,19,Successful_pass,Mid_Def,POINT,870.4,
6_Germany_GB_Mixed,18,0,19,Successful_pass,Mid_Def,POINT,899.733,
6_Germany_GB_Mixed,18,0,19,Score,,POINT,906.0,
6_Germany_GB_Mixed,18,0,19,Time_on_offense_teamA,,START,985.9,
6_Germany_GB_Mixed,18,0,19,Time_on_offense_teamB,,STOP,985.9,
6_Germany_GB_Mixed,18,0,19,Pull_pickup,Mid_Def,POINT,986.167,
6_Germany_GB_Mixed,18,0,19,Successful_pass,Mid_Def,POINT,987.533,
6_Germany_GB_Mixed,18,0,19,Successful_pass,Mid_Def,POINT,992.167,
6_Germany_GB_Mixed,18,0,19,Successful_pass,Mid_Def,POINT,998.467,
6_Germany_GB_Mixed,18,0,19,Successful_pass,Mid_Def,POINT,1000.667,
6_Germany_GB_Mixed,18,0,19,Successful_pass,Mid_Off,POINT,1002.2,
6_Germany_GB_Mixed,18,0,19,Score,,POINT,1006.667,
6_Germany_GB_Mixed,18,0,19,Time_on_offense_teamA,,STOP,1084.2,
6_Germany_GB_Mixed,18,0,19,Time_on_offense_teamB,,START,1084.2,
6_Germany_GB_Mixed,18,0,19,Pull_pickup,EZ_Def,POINT,1088.6,
6_Germany_GB_Mixed,18,0,19,Successful_pass,EZ_Def,POINT,1090.033,
6_Germany_GB_Mixed,18,0,19,Successful_pass,RZ_Def,POINT,1092.767,
6_Germany_GB_Mixed,18,0,19,Successful_pass,RZ_Def,POINT,1094.5,
6_Germany_GB_Mixed,18,0,19,Unforced_turnover,EZ_Off,POINT,1100.167,
6_Germany_GB_Mixed,18,0,19,Time_on_offense_teamA,,START,1100.467,
6_Germany_GB_Mixed,18,0,19,Time_on_offense_teamB,,STOP,1100.467,
6_Germany_GB_Mixed,18,0,19,Successful_pass,RZ_Def,POINT,1116.167,
6_Germany_GB_Mixed,18,0,19,Successful_pass,RZ_Off,POINT,1123.2,
6_Germany_GB_Mixed,18,0,19,Successful_pass,RZ_Off,POINT,1185.933,
6_Germany_GB_Mixed,18,0,19,Successful_pass,RZ_Off,POINT,1217.667,
6_Germany_GB_Mixed,18,0,19,Successful_pass,RZ_Off,POINT,1220.9,
6_Germany_GB_Mixed,18,0,19,Score,,POINT,1222.733,
6_Germany_GB_Mixed,18,0,19,Time_on_offense_teamA,,STOP,1324.133,
6_Germany_GB_Mixed,18,0,19,Time_on_offense_teamB,,START,1324.133,
6_Germany_GB_Mixed,18,0,19,Pull_pickup,RZ_Def,POINT,1324.367,
6_Germany_GB_Mixed,18,0,19,Successful_pass,RZ_Def,POINT,1330.5,
6_Germany_GB_Mixed,18,0,19,Successful_pass,Mid_Def,POINT,1333.733,
6_Germany_GB_Mixed,18,0,19,Successful_pass,Mid_Def,POINT,1338.067,
6_Germany_GB_Mixed,18,0,19,Successful_pass,Mid_Def,POINT,1339.767,
6_Germany_GB_Mixed,18,0,19,Successful_pass,Mid_Off,POINT,1342.933,
6_Germany_GB_Mixed,18,0,19,Successful_pass,Mid_Off,POINT,1345.0,
6_Germany_GB_Mixed,18,0,19,Successful_pass,Mid_Off,POINT,1348.533,
6_Germany_GB_Mixed,18,0,19,Successful_pass,Mid_Off,POINT,1350.967,
6_Germany_GB_Mixed,18,0,19,Successful_pass,RZ_Off,POINT,1354.4,
6_Germany_GB_Mixed,18,0,19,Successful_pass,Mid_Off,POINT,1362.067,
6_Germany_GB_Mixed,18,0,19,Successful_pass,RZ_Off,POINT,1365.433,
6_Germany_GB_Mixed,18,0,19,Successful_pass,RZ_Off,POINT,1374.167,
6_Germany_GB_Mixed,18,0,19,Successful_pass,RZ_Off,POINT,1378.8,
6_Germany_GB_Mixed,18,0,19,Successful_pass,RZ_Off,POINT,1386.9,
6_Germany_GB_Mixed,18,0,19,Successful_pass,RZ_Off,POINT,1393.5,
6_Germany_GB_Mixed,18,0,19,Successful_pass,RZ_Off,POINT,1397.333,
6_Germany_GB_Mixed,18,0,19,Successful_pass,RZ_Off,POINT,1399.467,
6_Germany_GB_Mixed,18,0,19,Successful_pass,RZ_Off,POINT,1402.2,
6_Germany_GB_Mixed,18,0,19,Successful_pass,RZ_Off,POINT,1404.467,
