Observation id,Subs_A,Early win,Subs_B,Behaviour,Field_Loc,B_Type,Time,Comment
14_France_Germany_Mixed,19,0,16,First half,,START,581.267,
14_France_Germany_Mixed,19,0,16,Time_on_offense_teamA,,START,639.767,
14_France_Germany_Mixed,19,0,16,Pull_pickup,RZ_Def,POINT,655.933,
14_France_Germany_Mixed,19,0,16,Successful_pass,Mid_Def,POINT,660.6,
14_France_Germany_Mixed,19,0,16,Unforced_turnover,RZ_Off,POINT,673.767,
14_France_Germany_Mixed,19,0,16,Time_on_offense_teamA,,STOP,674.367,
14_France_Germany_Mixed,19,0,16,Time_on_offense_teamB,,START,674.367,
14_France_Germany_Mixed,19,0,16,Successful_pass,RZ_Def,POINT,704.933,
14_France_Germany_Mixed,19,0,16,Unforced_turnover,Mid_Def,POINT,709.333,
14_France_Germany_Mixed,19,0,16,Time_on_offense_teamA,,START,710.2,
14_France_Germany_Mixed,19,0,16,Time_on_offense_teamB,,STOP,710.2,
14_France_Germany_Mixed,19,0,16,Successful_pass,Mid_Off,POINT,712.067,
14_France_Germany_Mixed,19,0,16,Unforced_turnover,EZ_Off,POINT,716.333,
14_France_Germany_Mixed,19,0,16,Time_on_offense_teamA,,STOP,716.867,
14_France_Germany_Mixed,19,0,16,Time_on_offense_teamB,,START,716.867,
14_France_Germany_Mixed,19,0,16,Successful_pass,RZ_Off,POINT,751.767,
14_France_Germany_Mixed,19,0,16,Successful_pass,RZ_Off,POINT,755.333,
14_France_Germany_Mixed,19,0,16,Successful_pass,RZ_Off,POINT,760.233,
14_France_Germany_Mixed,19,0,16,Successful_pass,RZ_Off,POINT,762.433,
14_France_Germany_Mixed,19,0,16,Score,,POINT,764.7,
14_France_Germany_Mixed,19,0,16,Time_on_offense_teamA,,START,862.0,
14_France_Germany_Mixed,19,0,16,Time_on_offense_teamB,,STOP,862.0,
14_France_Germany_Mixed,19,0,16,Pull_pickup,EZ_Def,POINT,862.2,
14_France_Germany_Mixed,19,0,16,Successful_pass,EZ_Def,POINT,863.767,
14_France_Germany_Mixed,19,0,16,Successful_pass,RZ_Def,POINT,867.333,
14_France_Germany_Mixed,19,0,16,Successful_pass,RZ_Def,POINT,870.767,
14_France_Germany_Mixed,19,0,16,Successful_pass,Mid_Def,POINT,874.0,
14_France_Germany_Mixed,19,0,16,Successful_pass,Mid_Def,POINT,878.433,
14_France_Germany_Mixed,19,0,16,Unforced_turnover,Mid_Def,POINT,885.5,
14_France_Germany_Mixed,19,0,16,Time_on_offense_teamA,,STOP,887.033,
14_France_Germany_Mixed,19,0,16,Time_on_offense_teamB,,START,887.033,
14_France_Germany_Mixed,19,0,16,Successful_pass,RZ_Off,POINT,973.933,
14_France_Germany_Mixed,19,0,16,Successful_pass,RZ_Off,POINT,980.0,
14_France_Germany_Mixed,19,0,16,Successful_pass,RZ_Off,POINT,985.0,
14_France_Germany_Mixed,19,0,16,Unforced_turnover,EZ_Off,POINT,988.8,
14_France_Germany_Mixed,19,0,16,Time_on_offense_teamA,,START,989.433,
14_France_Germany_Mixed,19,0,16,Time_on_offense_teamB,,STOP,989.433,
