Observation id,Subs_A,Early win,Subs_B,Behaviour,Field_Loc,B_Type,Time,Comment
16_Italy_Hungary_Mixed,8,0,16,First half,,START,238.633,
16_Italy_Hungary_Mixed,8,0,16,Time_on_offense_teamA,,START,284.5,
16_Italy_Hungary_Mixed,8,0,16,Pull_pickup,Mid_Def,POINT,302.3,
16_Italy_Hungary_Mixed,8,0,16,Unforced_turnover,EZ_Off,POINT,306.233,
16_Italy_Hungary_Mixed,8,0,16,Time_on_offense_teamA,,STOP,307.433,
16_Italy_Hungary_Mixed,8,0,16,Time_on_offense_teamB,,START,307.433,
16_Italy_Hungary_Mixed,8,0,16,Successful_pass,RZ_Def,POINT,334.867,
16_Italy_Hungary_Mixed,8,0,16,Successful_pass,RZ_Def,POINT,338.467,
16_Italy_Hungary_Mixed,8,0,16,Unforced_turnover,RZ_Def,POINT,341.3,
16_Italy_Hungary_Mixed,8,0,16,Time_on_offense_teamA,,START,341.867,
16_Italy_Hungary_Mixed,8,0,16,Time_on_offense_teamB,,STOP,341.867,
16_Italy_Hungary_Mixed,8,0,16,Score,,POINT,351.633,
16_Italy_Hungary_Mixed,8,0,16,Time_on_offense_teamA,,STOP,422.933,
16_Italy_Hungary_Mixed,8,0,16,Time_on_offense_teamB,,START,422.933,
16_Italy_Hungary_Mixed,8,0,16,Pull_pickup,RZ_Def,POINT,426.067,
16_Italy_Hungary_Mixed,8,0,16,Successful_pass,Mid_Def,POINT,430.767,
16_Italy_Hungary_Mixed,8,0,16,Successful_pass,Mid_Off,POINT,433.1,
16_Italy_Hungary_Mixed,8,0,16,Score,,POINT,437.0,
16_Italy_Hungary_Mixed,8,0,16,Time_on_offense_teamA,,START,505.967,
16_Italy_Hungary_Mixed,8,0,16,Time_on_offense_teamB,,STOP,505.967,
16_Italy_Hungary_Mixed,8,0,16,Pull_pickup,RZ_Def,POINT,508.033,
16_Italy_Hungary_Mixed,8,0,16,Successful_pass,Mid_Def,POINT,509.8,
16_Italy_Hungary_Mixed,8,0,16,Successful_pass,RZ_Off,POINT,519.9,
16_Italy_Hungary_Mixed,8,0,16,Score,,POINT,544.3,
16_Italy_Hungary_Mixed,8,0,16,Time_on_offense_teamA,,STOP,606.833,
16_Italy_Hungary_Mixed,8,0,16,Time_on_offense_teamB,,START,606.833,
16_Italy_Hungary_Mixed,8,0,16,Pull_pickup,Mid_Def,POINT,607.533,
16_Italy_Hungary_Mixed,8,0,16,Successful_pass,Mid_Def,POINT,608.3,
16_Italy_Hungary_Mixed,8,0,16,Successful_pass,Mid_Def,POINT,611.433,
16_Italy_Hungary_Mixed,8,0,16,Successful_pass,Mid_Def,POINT,615.2,
16_Italy_Hungary_Mixed,8,0,16,Successful_pass,Mid_Def,POINT,617.567,
16_Italy_Hungary_Mixed,8,0,16,Successful_pass,Mid_Def,POINT,620.9,
16_Italy_Hungary_Mixed,8,0,16,Successful_pass,Mid_Def,POINT,623.8,
16_Italy_Hungary_Mixed,8,0,16,Forced_turnover,Mid_Off,POINT,624.633,
16_Italy_Hungary_Mixed,8,0,16,Time_on_offense_teamA,,START,625.1,
