team_id,win,points_scored,score_attempts,score_efficiency,disc_possession,pass_acc,f_turnover,uf_turnover,total_turnover,subs,early_win,poss_eff,pass_rate,poss_dur
01_teamA,1,15,18,83.33333333333334,53.94035486955705,94.83282674772036,10,5,15,17,1,14.733333333333333,6.460904002880243,101.8433333333333
01_teamB,0,14,21,66.66666666666666,37.548563731314346,87.39495798319328,7,8,15,16,1,3.2857142857142856,3.3571042014112047,73.33906896551727
02_teamA,1,15,17,88.23529411764706,60.03000768087162,96.07843137254902,3,7,10,16,1,9.733333333333333,5.0038166366110595,122.30664000000006
02_teamB,0,7,15,46.666666666666664,25.15333783046948,88.19444444444444,6,11,17,16,1,6.285714285714286,6.7436725385009915,53.383374999999944
03_teamA,0,14,18,77.77777777777779,45.30580172226493,90.96045197740112,8,8,16,15,1,4.142857142857143,4.3006990458279555,82.31220000000003
03_teamB,1,15,21,71.42857142857143,49.6027384157149,91.58415841584159,11,5,16,16,1,6.6,4.4829647340107615,87.2118709677419
04_teamA,0,13,16,81.25,49.09467501063223,95.45454545454545,7,4,11,15,1,8.846153846153847,5.759619198730665,105.04166666666663
04_teamB,1,15,19,78.94736842105263,43.56528256327255,92.95774647887323,6,4,10,13,1,5.866666666666666,3.8085582595425156,89.48268000000003
05_teamA,0,11,18,61.111111111111114,35.87905456499753,89.80582524271846,9,12,21,16,1,7.818181818181818,5.856337779917308,65.95418750000002
05_teamB,1,15,18,83.33333333333334,52.85804847488467,95.5026455026455,4,13,17,14,1,14.866666666666667,7.294248639323526,97.16559375
06_teamA,1,15,24,62.5,53.409651057511056,92.16589861751152,6,11,17,18,0,6.6,4.248055095512721,95.77912500000002
06_teamB,0,12,20,60.0,40.19263868332686,89.78494623655914,7,12,19,19,0,5.833333333333333,4.838564923265825,74.40222580645157
07_teamA,1,15,15,100.0,51.62846854498956,95.56451612903226,5,6,11,16,1,9.533333333333333,6.148170919151559,93.08584615384606
07_teamB,0,6,14,42.857142857142854,32.61100391725098,87.89808917197452,9,10,19,16,1,3.3333333333333335,6.161961466154345,61.14936000000002
08_teamA,1,11,19,57.89473684210527,47.31856279775709,91.24087591240875,6,18,24,16,0,10.545454545454545,5.337489042563549,88.00285714285722
08_teamB,0,10,12,83.33333333333334,41.98001927943508,91.00719424460432,12,13,25,15,0,5.6,6.104078937304747,78.07425714285706
09_teamA,0,9,13,69.23076923076923,39.43497613702746,94.47513812154696,11,9,20,19,1,17.77777777777778,8.104075432077448,92.41837931034473
09_teamB,1,15,17,88.23529411764706,32.26692136146415,90.6832298136646,6,9,15,14,1,5.6,4.4049890376877325,73.09893333333339
10_teamA,0,6,15,40.0,43.49120375326157,91.02040816326532,10,12,22,16,0,6.666666666666667,7.775317650817362,67.52135714285713
10_teamB,1,15,23,65.21739130434783,47.90881146001104,91.66666666666666,5,9,14,20,0,6.266666666666667,4.840022375500267,71.81500000000001
11_teamA,1,15,18,83.33333333333334,42.378126920605375,93.20987654320987,5,6,11,16,0,5.4,3.8369425725752575,97.43334615384612
11_teamB,0,10,16,62.5,46.397451785574695,95.46742209631728,8,8,16,18,0,18.3,7.636469441683224,106.67434615384617
12_teamA,1,15,18,83.33333333333334,53.99869922193692,96.73202614379085,6,4,10,16,0,13.533333333333333,5.8240083642403375,126.09871999999996
12_teamB,0,10,11,90.9090909090909,36.34890176978787,92.09039548022598,6,8,14,18,0,6.4,5.004559238289118,88.41937500000002
