Observation id,Observation date,Description,Observation duration,Observation type,Source,Time offset (s),Media duration (s),FPS,Subs_A,Early win,Subs_B,Subject,Behavior,Behavioral category,Modifier #1,Behavior type,Time,Media file name,Image index,Image file path,Comment
9_Austria_Slovakia_Mixed,2025-05-30 16:21:24.254,Team A is Austria and team B is Slovakia.,7064.167,Media file(s),player #1:C:/Users/basti/Desktop/UF_Thesis/9_Austria_Slovakia_Mixed,0.0,7895.133,30.000,19,1,14,,First half,,,START,598.300,C:/Users/basti/Desktop/UF_Thesis/9_Austria_Slovakia_Mixed,17949,NA,
9_Austria_Slovakia_Mixed,2025-05-30 16:21:24.254,Team A is Austria and team B is Slovakia.,7064.167,Media file(s),player #1:C:/Users/basti/Desktop/UF_Thesis/9_Austria_Slovakia_Mixed,0.0,7895.133,30.000,19,1,14,,Time_on_offense_teamA,,,START,686.600,C:/Users/basti/Desktop/UF_Thesis/9_Austria_Slovakia_Mixed,20598,NA,
9_Austria_Slovakia_Mixed,2025-05-30 16:21:24.254,Team A is Austria and team B is Slovakia.,7064.167,Media file(s),player #1:C:/Users/basti/Desktop/UF_Thesis/9_Austria_Slovakia_Mixed,0.0,7895.133,30.000,19,1,14,,Pull_pickup,,EZ_Def,POINT,688.433,C:/Users/basti/Desktop/UF_Thesis/9_Austria_Slovakia_Mixed,20653,NA,
9_Austria_Slovakia_Mixed,2025-05-30 16:21:24.254,Team A is Austria and team B is Slovakia.,7064.167,Media file(s),player #1:C:/Users/basti/Desktop/UF_Thesis/9_Austria_Slovakia_Mixed,0.0,7895.133,30.000,19,1,14,,Successful_pass,,EZ_Def,POINT,690.133,C:/Users/basti/Desktop/UF_Thesis/9_Austria_Slovakia_Mixed,20704,NA,
9_Austria_Slovakia_Mixed,2025-05-30 16:21:24.254,Team A is Austria and team B is Slovakia.,7064.167,Media file(s),player #1:C:/Users/basti/Desktop/UF_Thesis/9_Austria_Slovakia_Mixed,0.0,7895.133,30.000,19,1,14,,Successful_pass,,EZ_Def,POINT,691.500,C:/Users/basti/Desktop/UF_Thesis/9_Austria_Slovakia_Mixed,20745,NA,
9_Austria_Slovakia_Mixed,2025-05-30 16:21:24.254,Team A is Austria and team B is Slovakia.,7064.167,Media file(s),player #1:C:/Users/basti/Desktop/UF_Thesis/9_Austria_Slovakia_Mixed,0.0,7895.133,30.000,19,1,14,,Successful_pass,,RZ_Def,POINT,694.000,C:/Users/basti/Desktop/UF_Thesis/9_Austria_Slovakia_Mixed,20820,NA,
9_Austria_Slovakia_Mixed,2025-05-30 16:21:24.254,Team A is Austria and team B is Slovakia.,7064.167,Media file(s),player #1:C:/Users/basti/Desktop/UF_Thesis/9_Austria_Slovakia_Mixed,0.0,7895.133,30.000,19,1,14,,Successful_pass,,RZ_Def,POINT,696.433,C:/Users/basti/Desktop/UF_Thesis/9_Austria_Slovakia_Mixed,20893,NA,
9_Austria_Slovakia_Mixed,2025-05-30 16:21:24.254,Team A is Austria and team B is Slovakia.,7064.167,Media file(s),player #1:C:/Users/basti/Desktop/UF_Thesis/9_Austria_Slovakia_Mixed,0.0,7895.133,30.000,19,1,14,,Successful_pass,,RZ_Def,POINT,699.000,C:/Users/basti/Desktop/UF_Thesis/9_Austria_Slovakia_Mixed,20970,NA,
9_Austria_Slovakia_Mixed,2025-05-30 16:21:24.254,Team A is Austria and team B is Slovakia.,7064.167,Media file(s),player #1:C:/Users/basti/Desktop/UF_Thesis/9_Austria_Slovakia_Mixed,0.0,7895.133,30.000,19,1,14,,Successful_pass,,RZ_Def,POINT,702.267,C:/Users/basti/Desktop/UF_Thesis/9_Austria_Slovakia_Mixed,21068,NA,
9_Austria_Slovakia_Mixed,2025-05-30 16:21:24.254,Team A is Austria and team B is Slovakia.,7064.167,Media file(s),player #1:C:/Users/basti/Desktop/UF_Thesis/9_Austria_Slovakia_Mixed,0.0,7895.133,30.000,19,1,14,,Successful_pass,,EZ_Def,POINT,704.067,C:/Users/basti/Desktop/UF_Thesis/9_Austria_Slovakia_Mixed,21122,NA,
